model,model_family,strategy,actual_device,selection_split,cost_scenario,cost_ratio,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp,fn_cost,fp_cost,total_cost
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.48333333333333334,0.06229860365198711,0.11037107516650808,0.4,42155,248,3492,232,5,1,17708
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.4825174825174825,0.055585392051557464,0.09968697327233325,0.41,42181,222,3517,207,5,1,17807
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.506426735218509,0.05290010741138561,0.09579382445903234,0.42,42211,192,3527,197,5,1,17827
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5114942528735632,0.04779806659505908,0.08742632612966601,0.43,42233,170,3546,178,5,1,17900
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5344262295081967,0.04377013963480129,0.08091337800943162,0.44,42261,142,3561,163,5,1,17947
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5410447761194029,0.03893662728249194,0.07264529058116233,0.45,42280,123,3579,145,5,1,18018
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5371900826446281,0.03490870032223416,0.06555723651033787,0.46,42291,112,3594,130,5,1,18082
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5424528301886793,0.03088077336197637,0.058434959349593495,0.47,42306,97,3609,115,5,1,18142
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5513513513513514,0.027389903329752954,0.052187260168841135,0.48,42320,83,3622,102,5,1,18193
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.5568862275449101,0.02497314715359828,0.047802621434078645,0.49,42329,74,3631,93,5,1,18229
