model,model_family,strategy,calibration_method,split,bin,lower,upper,count,mean_predicted_probability,observed_default_rate,absolute_gap,weighted_gap
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,8,0.7000000000000001,0.8,98,0.7501489545885276,0.5612244897959183,0.18892446479260927,0.00040138308473726257
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,9,0.8,0.9,54,0.8360980331281042,0.6296296296296297,0.2064684034984745,0.00024170862594397258
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,10,0.9,1.0,5,0.9237065516353555,0.4,0.5237065516353555,5.6767896420247955e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,1,0.0,0.1,38208,0.05282969784508393,0.05064384422110553,0.0021858536239783982,0.0018105902240546023
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,2,0.1,0.2,5020,0.135671733517312,0.1749003984063745,0.039228664889062514,0.0042692544007434646
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,3,0.2,0.30000000000000004,1374,0.24256047508975723,0.26710334788937407,0.02454287279961684,0.0007310665602938309
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,4,0.30000000000000004,0.4,652,0.34306728164948724,0.3113496932515337,0.03171758839795352,0.00044832457422910003
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,5,0.4,0.5,346,0.44558316537086895,0.315028901734104,0.13055426363676492,0.0009792914175715017
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,6,0.5,0.6000000000000001,229,0.546685158224028,0.4017467248908297,0.14493843333319828,0.0007195547343920568
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,7,0.6000000000000001,0.7000000000000001,137,0.6454076338922566,0.4306569343065693,0.21475069958568732,0.0006378226601174836
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,8,0.7000000000000001,0.8,98,0.746522653683113,0.4897959183673469,0.25672673531576606,0.0005454336952532156
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,9,0.8,0.9,53,0.8496043732541809,0.49056603773584906,0.35903833551833186,0.00041253564685480497
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,test,10,0.9,1.0,10,0.9236391051106821,0.7,0.2236391051106822,4.848334058375403e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,1,0.0,0.1,33724,0.0413059022951014,0.04130589491163563,7.383465769339459e-09,5.39813990949344e-09
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,2,0.1,0.2,8099,0.12841091492776885,0.12841091492776885,0.0,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,3,0.2,0.30000000000000004,3110,0.2546623794212219,0.2546623794212219,0.0,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,4,0.30000000000000004,0.4,818,0.3704156479217604,0.3704156479217604,0.0,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,5,0.4,0.5,205,0.4682926829268292,0.4682926829268293,1.1102230246251565e-16,4.934110608714139e-19
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,6,0.5,0.6000000000000001,135,0.562962962962963,0.562962962962963,0.0,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,7,0.6000000000000001,0.7000000000000001,36,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,8.664779605546781e-20
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,8,0.7000000000000001,0.8,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,9,0.8,0.9,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,valid,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,1,0.0,0.1,33579,0.04103003232155272,0.04097799219750439,5.204012404833036e-05,3.788356765926432e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,2,0.1,0.2,8142,0.12812182461611418,0.1379267993122083,0.00980497469609412,0.001730702277962979
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,3,0.2,0.30000000000000004,3202,0.2554846285030974,0.23891317926296066,0.016571449240136732,0.0011503410251461794
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,4,0.30000000000000004,0.4,798,0.37028905760746916,0.34210526315789475,0.028183794449574417,0.00048758141589005103
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,5,0.4,0.5,226,0.4635693215339232,0.4247787610619469,0.03879056047197632,0.00019005499309876316
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,6,0.5,0.6000000000000001,125,0.5628906414112359,0.496,0.06689064141123591,0.00018126759113760895
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,7,0.6000000000000001,0.7000000000000001,55,0.6690848777204232,0.5272727272727272,0.14181215044769602,0.00016909116731249118
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,8,0.7000000000000001,0.8,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,9,0.8,0.9,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,isotonic,test,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,1,0.0,0.1,34359,0.04234782677806521,0.04298728135277511,0.0006394545747099023,0.0004763158179039941
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,2,0.1,0.2,7970,0.1396050003795943,0.13525721455457967,0.004347785825014633,0.0007512271126534704
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,3,0.2,0.30000000000000004,2365,0.2411188599829962,0.25200845665961946,0.010889596676623259,0.0005583258425697316
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,4,0.30000000000000004,0.4,953,0.342693335649624,0.3578174186778594,0.015124083028235369,0.0003124688604485075
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,5,0.4,0.5,336,0.4420987619292205,0.44345238095238093,0.0013536190231604461,9.860081769503976e-06
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,6,0.5,0.6000000000000001,117,0.538117614019529,0.5555555555555556,0.017437941536026624,4.4230909439484795e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,7,0.6000000000000001,0.7000000000000001,24,0.630053098092958,0.7083333333333334,0.07828023524037542,4.072941326704555e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,8,0.7000000000000001,0.8,3,0.7209952220856889,0.3333333333333333,0.3876618887523556,2.521268814917655e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,9,0.8,0.9,0,,,,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,valid,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,1,0.0,0.1,34232,0.04207693942867062,0.04302991353119888,0.000952974102528259,0.0007072259084212578
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,2,0.1,0.2,7974,0.13956966317802122,0.13982944569852018,0.00025978252049896344,4.4908747988352474e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,3,0.2,0.30000000000000004,2446,0.24286382007401994,0.2403924775143091,0.0024713425597108485,0.0001310491447753536
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,4,0.30000000000000004,0.4,945,0.3417628708758133,0.3333333333333333,0.008429537542479992,0.0001726952322423655
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,5,0.4,0.5,353,0.44175526483422206,0.39943342776203966,0.0423218370721824,0.0003238799073531855
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,6,0.5,0.6000000000000001,134,0.5392943807360014,0.48507462686567165,0.05421975387032979,0.00015750963684228741
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,7,0.6000000000000001,0.7000000000000001,36,0.6444211614332009,0.6111111111111112,0.03331005032208978,2.5996960816771783e-05
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,8,0.7000000000000001,0.8,7,0.7456371902998759,0.7142857142857143,0.03135147601416155,4.757741281660001e-06
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,9,0.8,0.9,0,,,,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,raw,test,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,1,0.0,0.1,38376,0.053209510485388196,0.050500312695434646,0.0027091977899535505,0.0022539548287826535
stage5_lightgbm_raw_gpu,lightgbm,raw,sigmoid,valid,2,0.1,0.2,4991,0.13531679649171777,0.1689040272490483,0.03358723075733053,0.003634181037349853
