model_family,source_model,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.76,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.77,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.78,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.79,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.8,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.81,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.82,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.83,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.84,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.85,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.86,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.87,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.88,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.89,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.9,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.91,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.92,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.93,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.94,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.95,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.96,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.97,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.98,42403,0,3724,0
lightgbm,stage5_lightgbm_raw_gpu,valid,0.7641809727961154,0.2569212584816172,0.0,0.0,0.0,0.99,42403,0,3724,0
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.08273910330689009,0.9970461868958109,0.15279835390946503,0.01,1240,41163,11,3713
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.09200752950752951,0.9712674543501612,0.1680918300957338,0.02,6708,35695,107,3617
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.1048110997657517,0.9371643394199786,0.18853654583761006,0.03,12595,29808,234,3490
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.11686291149535023,0.8874865735767992,0.20653022965161694,0.04,17427,24976,419,3305
