model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.44970414201183434,0.08163265306122448,0.13818181818181818,0.37,42031,372,3420,304
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.4674457429048414,0.07518796992481203,0.12953967152440435,0.38,42084,319,3444,280
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.47706422018348627,0.06981740064446831,0.12180838603888498,0.39,42118,285,3464,260
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.4802494802494803,0.06203007518796992,0.1098692033293698,0.4,42153,250,3493,231
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.4894117647058824,0.055853920515574654,0.1002651241262955,0.41,42186,217,3516,208
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5213903743315508,0.052363050483351235,0.0951683748169839,0.42,42224,179,3529,195
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5331325301204819,0.04752953813104189,0.08727810650887574,0.43,42248,155,3547,177
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5392156862745098,0.04430719656283566,0.08188585607940446,0.44,42262,141,3559,165
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5398550724637681,0.040010741138560686,0.0745,0.45,42276,127,3575,149
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5368852459016393,0.03517722878625134,0.06602822580645161,0.46,42290,113,3593,131
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5528846153846154,0.03088077336197637,0.05849440488301119,0.47,42310,93,3609,115
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5621621621621622,0.027926960257787327,0.05321053977999488,0.48,42322,81,3620,104
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5748502994011976,0.02577873254564984,0.04934464148033924,0.49,42332,71,3628,96
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.5789473684210527,0.023630504833512353,0.04540763673890609,0.5,42339,64,3636,88
