selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
valid,0.7556212013351608,0.24106769402917658,0.1469530258146424,0.7459720730397422,0.24553650344705674,0.48,26277,16126,946,2778
valid,0.7556212013351608,0.24106769402917658,0.14909941775044894,0.7357679914070892,0.2479525813311615,0.49,26766,15637,984,2740
valid,0.7556212013351608,0.24106769402917658,0.15175817396668723,0.7266380236305048,0.2510786360473208,0.5,27278,15125,1018,2706
valid,0.7556212013351608,0.24106769402917658,0.1548446917014372,0.7175080558539205,0.25471877979027646,0.51,27819,14584,1052,2672
valid,0.7556212013351608,0.24106769402917658,0.15780661364587695,0.7086466165413534,0.2581307771311195,0.52,28319,14084,1085,2639
valid,0.7556212013351608,0.24106769402917658,0.16107257864751054,0.6984425349087003,0.2617753623188406,0.53,28856,13547,1123,2601
valid,0.7556212013351608,0.24106769402917658,0.16397746190293253,0.6877013963480129,0.2648123255092545,0.54,29346,13057,1163,2561
valid,0.7556212013351608,0.24106769402917658,0.16704499933235412,0.6718582169709989,0.26756496631376325,0.55,29927,12476,1222,2502
valid,0.7556212013351608,0.24106769402917658,0.1703961084086171,0.6584317937701396,0.2707298222369438,0.56,30465,11938,1272,2452
valid,0.7556212013351608,0.24106769402917658,0.17317585682196943,0.6417830290010741,0.27275320970042793,0.57,30992,11411,1334,2390
valid,0.7556212013351608,0.24106769402917658,0.17724767871971012,0.6305048335123523,0.2767073242590301,0.58,31504,10899,1376,2348
valid,0.7556212013351608,0.24106769402917658,0.18084854230860392,0.6146616541353384,0.27947011781942493,0.59,32035,10368,1435,2289
valid,0.7556212013351608,0.24106769402917658,0.18612927253165604,0.6039205155746509,0.2845574745365977,0.6,32569,9834,1475,2249
valid,0.7556212013351608,0.24106769402917658,0.18990426457789383,0.5859291084854995,0.2868410674378862,0.61,33095,9308,1542,2182
valid,0.7556212013351608,0.24106769402917658,0.19456431916261133,0.5690118152524167,0.28997605200136845,0.62,33631,8772,1605,2119
valid,0.7556212013351608,0.24106769402917658,0.19992251065478497,0.5542427497314716,0.2938496583143508,0.63,34143,8260,1660,2064
valid,0.7556212013351608,0.24106769402917658,0.205078125,0.5357142857142857,0.2966101694915254,0.64,34670,7733,1729,1995
valid,0.7556212013351608,0.24106769402917658,0.20979789103690685,0.5128893662728249,0.2977860929217337,0.65,35209,7194,1814,1910
